Parameter Pair,S2,S2_conf
corr_agg_0 & corr_agg_1,1.140329,10.121416
corr_agg_0 & corr_agg_2,1.141397,10.132301
corr_agg_0 & pl_v,0.110801,2.022737
corr_agg_0 & pl_P1,-27.545124,260.181776
corr_agg_0 & pl_P2,-2.612262,25.490843
corr_agg_0 & pl_P3,1.605713,14.443941
corr_agg_0 & pl_P4,0.758760,6.640282
corr_agg_1 & corr_agg_2,-1.876811,192.940797
corr_agg_1 & pl_v,-1.367972,194.734812
corr_agg_1 & pl_P1,12.308614,267.964726
corr_agg_1 & pl_P2,-0.011449,196.762341
corr_agg_1 & pl_P3,-2.097103,189.780688
corr_agg_1 & pl_P4,-1.655269,184.889284
corr_agg_2 & pl_v,-0.672044,6.052316
corr_agg_2 & pl_P1,2.285951,23.284953
corr_agg_2 & pl_P2,-0.380650,4.156411
corr_agg_2 & pl_P3,-0.831789,7.311372
corr_agg_2 & pl_P4,-0.740868,6.560830
pl_v & pl_P1,-9.991801,91.833036
pl_v & pl_P2,-0.096438,6.198188
pl_v & pl_P3,1.577589,18.305462
pl_v & pl_P4,1.241525,15.339042
pl_P1 & pl_P2,43.770731,432.464888
pl_P1 & pl_P3,47.784244,470.055834
pl_P1 & pl_P4,46.979952,462.321856
pl_P2 & pl_P3,5.829588,50.936409
pl_P2 & pl_P4,5.697954,49.820587
pl_P3 & pl_P4,-17.732760,182.033827
